,Topic,Words,Frequency,Timestamp
6045,37,"wellenbad, fessenheim, worry, thissachs, double",1,2017-08-10 04:19:52.114285824+00:00
6046,40,"wasserspaß, balkhauser, risikogebiet, schlaf, parkhaus",1,2017-08-10 04:19:52.114285824+00:00
6047,45,"koennen, meldestufe, stadtgemeinde, steilufer, abbrueche",1,2017-08-10 04:19:52.114285824+00:00
6048,66,"finanzhilfe, menschengemachten, klimawandels, reaktionen, versicherungswirtschaft",1,2017-08-10 04:19:52.114285824+00:00
6049,101,"regnet, morgen, hype, wettervorhersage, warm",1,2017-08-10 04:19:52.114285824+00:00
6050,103,"abendblatt, camper, mill, individualverkehr, teamafd",1,2017-08-10 04:19:52.114285824+00:00
6051,117,"sandburgenbau, wettbewerb, stadtgemeinde, suedliches, rio",1,2017-08-10 04:19:52.114285824+00:00
6052,129,"blitzeinschlaege, nordstrand, torwart, hexenkessel, hane",1,2017-08-10 04:19:52.114285824+00:00
6053,174,"links, mulde, lange, ortsspitze, schlammlawinen",1,2017-08-10 04:19:52.114285824+00:00
6054,175,"nlwkn, suedlichen, ersparnisse, invadersfamily, straßenbahnmuseum",1,2017-08-10 04:19:52.114285824+00:00
6055,214,"schuld, wetter, geodaten, geotopen, schwerer",1,2017-08-10 04:19:52.114285824+00:00
6056,265,"neues, rauszuholen, schwimmhaeuten, raeuber, jesusfueranfaenger",1,2017-08-10 04:19:52.114285824+00:00
6057,290,"neues, push, landkarte, murx, sekretaerin",1,2017-08-10 04:19:52.114285824+00:00
6058,316,"suedwest, news, watch, bregtal, stigma",2,2017-08-10 04:19:52.114285824+00:00
6059,373,"swr, tritin, plastikmehrwegflaschen, pinwand, westdeut",1,2017-08-10 04:19:52.114285824+00:00
6060,-1,"zyklus, europas, klimawandels, bedroht, norden",4,2017-08-13 15:26:27.085714176+00:00
6061,0,"bundesland, wasserwirtschaftsaemter, genauere, unteren, hochwasser",1,2017-08-13 15:26:27.085714176+00:00
6062,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",3,2017-08-13 15:26:27.085714176+00:00
6063,5,"unwetterwarnung, regenwand, kalten, britische, atempause",1,2017-08-13 15:26:27.085714176+00:00
6064,9,"beantragen, betroffene, pflegearbeiten, hilfeleistung, stadt",6,2017-08-13 15:26:27.085714176+00:00
6065,24,"schande, ard, bundeskanzlerin, angela, unbuerokratische",1,2017-08-13 15:26:27.085714176+00:00
6066,26,"aktuelle, info, liegt, mehr, pegel",1,2017-08-13 15:26:27.085714176+00:00
6067,62,"koennten, regulieren, wasserhaushalt, flext, jacken",1,2017-08-13 15:26:27.085714176+00:00
6068,88,"steuern, news, unterfraenkische, steuerfinanziert, elementarversicherung",3,2017-08-13 15:26:27.085714176+00:00
6069,103,"camper, mill, tageslicht, neuhausen, physiker",1,2017-08-13 15:26:27.085714176+00:00
6070,141,"warnt, feuerwehr, megafon, technisches, skateranlage",1,2017-08-13 15:26:27.085714176+00:00
6071,274,"abgeschafft, autoland, giftig, labersack, textblaetter",1,2017-08-13 15:26:27.085714176+00:00
6072,370,"infranken, jahren, hochwasssers, faq, resi",1,2017-08-13 15:26:27.085714176+00:00
6073,-1,"zyklus, klimawandels, spaeter, norden, schutzmauer",10,2017-08-14 12:13:05.828571392+00:00
6074,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",3,2017-08-14 12:13:05.828571392+00:00
6075,17,"zyklus, unwetter, vorhersehba, bettenhausen, normalpegels",1,2017-08-14 12:13:05.828571392+00:00
6076,66,"zyklus, klimawandels, menschengemachten, klimawandel, reaktionen",1,2017-08-14 12:13:05.828571392+00:00
6077,172,"stadtgemeinde, ermittlungsverfahren, katastrophenschutzplaene, hotelzurpostaltenahr, wirlebennoch",1,2017-08-14 12:13:05.828571392+00:00
6078,315,"pornosternchen, mohnbroetchen, spendenaktion, featuring, dontwastefood",1,2017-08-14 12:13:05.828571392+00:00
6079,-1,"unwetter, hochwasser, sammywilktour, doepfner, ripnaina",1,2017-08-15 08:59:44.571428608+00:00
6080,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-08-15 08:59:44.571428608+00:00
6081,20,"juden, abgeschafft, book, hakenkreuze, antisemitischer",1,2017-08-15 08:59:44.571428608+00:00
6082,44,"lehrermangel, landtag, schulkinder, hubschraubereinsatz, schulzentrum",1,2017-08-15 08:59:44.571428608+00:00
6083,66,"zyklus, klimawandels, menschengemachten, klimawandel, reaktionen",1,2017-08-15 08:59:44.571428608+00:00
6084,87,"landeshilfen, versichern, hausbesitzer, hilfeprogramme, volkshilfe",1,2017-08-15 08:59:44.571428608+00:00
6085,113,"feuerwehr, stadt, schlauchbootfahrer, freiwilligefeuerwehr, feuerwehrleute",1,2017-08-15 08:59:44.571428608+00:00
6086,136,"fitness, center, dankeschoen, traditionself, fail",1,2017-08-15 08:59:44.571428608+00:00
6087,163,"bezirk, stadtgemeinde, decken, fahrzeughalle, infospots",1,2017-08-15 08:59:44.571428608+00:00
6088,187,"regionalfernsehen, nachri, evakuiert, nacht, brigitte",4,2017-08-15 08:59:44.571428608+00:00
6089,190,"landtagssitzung, letzte, unterbezirk, unwetterfolgen, polderstreit",1,2017-08-15 08:59:44.571428608+00:00
6090,290,"push, erhoe, fußballfelder, landkarte, murx",2,2017-08-15 08:59:44.571428608+00:00
6091,294,"auffangbecken, fordern, anwohner, wirkung, umweltschutz",1,2017-08-15 08:59:44.571428608+00:00
6092,454,"teckelclub, teichgebiet, gehwetter, straßenkoeter, regieung",1,2017-08-15 08:59:44.571428608+00:00
6093,-1,"gespraechsbedarf, tisch, jahrhundert, rund, stadtgemeinde",3,2017-08-16 05:46:23.314285824+00:00
6094,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-08-16 05:46:23.314285824+00:00
6095,66,"zyklus, klimawandels, menschengemachten, klimawandel, reaktionen",1,2017-08-16 05:46:23.314285824+00:00
6096,70,"db, uclfinal, slovakia, norm, mitteldeutsche",4,2017-08-16 05:46:23.314285824+00:00
6097,111,"obduktion, holtemme, vermisste, katastortophe, fatal",1,2017-08-16 05:46:23.314285824+00:00
6098,132,"holtemme, verschwunden, test, unwettern, identifizieren",1,2017-08-16 05:46:23.314285824+00:00
6099,136,"echaz, familien, traditionself, fail, sln",1,2017-08-16 05:46:23.314285824+00:00
6100,206,"kubikmeter, zahlen, drei, bahnersatzve, nußbaumerstr",1,2017-08-16 05:46:23.314285824+00:00
6101,279,"linden, unterwasser, mops, muehlenbruecke, stinker",3,2017-08-16 05:46:23.314285824+00:00
6102,294,"unterhaltsvorschuss, mitarbeiterin, umweltschutz, wirkung, sanitaetskollegen",1,2017-08-16 05:46:23.314285824+00:00
6103,364,"schornstein, bebauungsplanaenderung, ortrosse, schweinebraten, ausgepumpt",1,2017-08-16 05:46:23.314285824+00:00
6104,460,"bewohner, riss, haus, fuehlten, ulbricht",1,2017-08-16 05:46:23.314285824+00:00
6105,464,"bestattungen, luftaufaufnahmen, buerokratischer, behoerdenmitarbeiter, zementwerk",1,2017-08-16 05:46:23.314285824+00:00
6106,-1,"nich, hochwasser, sammywilktour, doepfner, taxi",2,2017-08-17 02:33:02.057142784+00:00
6107,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",2,2017-08-17 02:33:02.057142784+00:00
6108,2,"isarpegel, feuerwehr, krankheitserregern, bauingenieure, ortwarnung",1,2017-08-17 02:33:02.057142784+00:00
6109,26,"aktuelle, info, liegt, mehr, pegel",1,2017-08-17 02:33:02.057142784+00:00
6110,82,"bootfahrverbot, kajak, schiffsansammlung, schlauchboot, außenhafen",1,2017-08-17 02:33:02.057142784+00:00
6111,88,"verbrennt, finanz, geld, steuerliche, tax",1,2017-08-17 02:33:02.057142784+00:00
6112,89,"regen, ausuferung, hochwasser, verschwindet, startschuss",1,2017-08-17 02:33:02.057142784+00:00
6113,134,"biersdorf, briefzentrum, stadtverordnetenversammlung, artikel, stausee",1,2017-08-17 02:33:02.057142784+00:00
6114,150,"bootsfahrten, verbietet, abend, schifffahrtssperre, schiffsverkehr",1,2017-08-17 02:33:02.057142784+00:00
6115,189,"telefonnetz, geduld, webportal, tmobile, krisenstabs",1,2017-08-17 02:33:02.057142784+00:00
6116,247,"schlauchwall, plane, grey, muensterlandzeitun, kurzschließen",1,2017-08-17 02:33:02.057142784+00:00
6117,373,"betroffene, hilfesystem, stromversorg, tritin, gedulden",1,2017-08-17 02:33:02.057142784+00:00
6118,374,"verlorem, dorfleins, sanierungen, stoppt, wasserrohrbruch",1,2017-08-17 02:33:02.057142784+00:00
6119,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",4,2017-08-18 20:06:19.542857216+00:00
6120,0,"bundesland, wasserwirtschaftsaemter, genauere, unteren, hochwasser",1,2017-08-19 16:52:58.285714176+00:00
6121,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",2,2017-08-19 16:52:58.285714176+00:00
6122,-1,"radfahrverbot, vs, stadt, hochwasser, sammywilktour",1,2017-08-20 13:39:37.028571392+00:00
6123,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-08-20 13:39:37.028571392+00:00
6124,214,"bundesland, geodaten, geotopen, schwerer, beeindruckendes",1,2017-08-20 13:39:37.028571392+00:00
6125,262,"bald, gafft, gedeckelt, linksgruenrotverschwulte, rapide",1,2017-08-20 13:39:37.028571392+00:00
6126,-1,"schoolofrock, rock, hard, stadtgemeinde, hochwasser",1,2017-08-21 10:26:15.771428608+00:00
6127,26,"aktuelle, info, liegt, mehr, pegel",1,2017-08-21 10:26:15.771428608+00:00
6128,103,"camper, mill, spezialmaschinen, edubw, twlz",1,2017-08-21 10:26:15.771428608+00:00
6129,137,"katastrophen, vorwarnen, bundesregierung, campingplatz, impfteams",1,2017-08-21 10:26:15.771428608+00:00
6130,150,"bootsfahrverbot, rafting, diskussionen, schifffahrtssperre, stroemungsretter",1,2017-08-21 10:26:15.771428608+00:00
6131,-1,"fast, hochwasser, einsatzbericht, sammywilktour, dudg",1,2017-08-22 07:12:54.514285824+00:00
6132,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-08-22 07:12:54.514285824+00:00
6133,13,"brandenburg, aquado, kitesurfing, orientierungspunkt, ortmerkel",1,2017-08-22 07:12:54.514285824+00:00
6134,18,"akademischen, intelligenz, accounts, respekt, twitterhilft",1,2017-08-22 07:12:54.514285824+00:00
6135,88,"brandenburg, ermoeglicht, steuern, sauerstoffversorgung, auslandsinvestitionen",2,2017-08-22 07:12:54.514285824+00:00
6136,100,"test, kostet, eurobaustoff, schlange, bezirke",1,2017-08-22 07:12:54.514285824+00:00
6137,262,"erlebnisse, snapchat, bildquali, kabutzhof, eingebildete",1,2017-08-22 07:12:54.514285824+00:00
6138,-1,"stadt, hochwasser, einsatzbericht, sammywilktour, dudg",1,2017-08-23 03:59:33.257142784+00:00
6139,80,"allianz, focus, online, html, montagnachmittag",1,2017-08-23 03:59:33.257142784+00:00
6140,249,"stadt, hochwasser, ortfaehre, alltagssituationen, herzliche",1,2017-08-23 03:59:33.257142784+00:00
6141,301,"atypisches, uebergelaufenes, radverkehr, bahnstrecke, route",1,2017-08-23 03:59:33.257142784+00:00
6142,455,"allianz, landkreise, untersuchungsausshuss, statikern, kommunalpolitischer",1,2017-08-23 03:59:33.257142784+00:00
6143,-1,"atypisches, stadt, hochwasser, sammywilktour, doepfner",1,2017-08-24 21:32:50.742857216+00:00
6144,14,"stadt, duschen, hochwasser, hausbesitzer, sillium",1,2017-08-24 21:32:50.742857216+00:00
6145,18,"tweetklau, bezirk, twitter, servicetweet, retweeten",1,2017-08-24 21:32:50.742857216+00:00
6146,19,"risikogewaesser, goldbach, stadtgemeinde, wetterexper, psyche",1,2017-08-24 21:32:50.742857216+00:00
6147,46,"maßnahmen, stadtgemeinde, pegelmax, mulde, spree",1,2017-08-24 21:32:50.742857216+00:00
6148,153,"computersimulationen, bessere, prognosen, investiert, euro",1,2017-08-24 21:32:50.742857216+00:00
6149,-1,"command, conquer, sowjets, alarmstufe, video",2,2017-08-25 18:19:29.485714176+00:00
6150,11,"command, sowjets, amp, sirenenalarm, probealarm",1,2017-08-25 18:19:29.485714176+00:00
6151,-1,"houstonflood, nirgends, schulz, ministerpraesident, hochwasser",1,2017-08-26 15:06:08.228571392+00:00
6152,63,"feuerwehrschule, bienchen, huegelhelden, dyksterhusen, fw",1,2017-08-26 15:06:08.228571392+00:00
6153,-1,"sexismus, pappbecher, debatte, schlimm, spd",2,2017-08-27 11:52:46.971428608+00:00
6154,105,"ehrungen, schwaebischgmuend, sueddeutschland, frankfurtammain, budapest",1,2017-08-27 11:52:46.971428608+00:00
6155,225,"pappbecher, schlimmste, wohlbehalten, wiederaufbauprojekte, wasserwirtschaftsamtes",1,2017-08-27 11:52:46.971428608+00:00
6156,-1,"mitgliedsgemeinde, spenden, katastrophe, stadt, hochwasser",1,2017-08-28 08:39:25.714285824+00:00
6157,72,"didi, osc, mutloser, effekte, positionieren",1,2017-08-30 02:12:43.200000+00:00
6158,126,"evakuierungsplan, kaninchen, tierschutzverein, kitten, ahrweiler",1,2017-08-30 02:12:43.200000+00:00
6159,163,"altstadt, fast, infospots, lukaspodolski, einzureisen",1,2017-08-30 02:12:43.200000+00:00
6160,234,"atomverstrahlung, risk, chain, supply, monitoring",1,2017-08-30 02:12:43.200000+00:00
6161,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",2,2017-08-31 19:46:00.685714176+00:00
6162,5,"harveystorm, moeglich, unwetterwarnung, regenwand, warnungen",1,2017-08-31 19:46:00.685714176+00:00
6163,53,"kaffeebecher, touristen, biomuell, coronavirus, pfandbecher",1,2017-08-31 19:46:00.685714176+00:00
6164,198,"koenne, staatskanzleichef, familie, selbstlose, psychotherapeut",1,2017-08-31 19:46:00.685714176+00:00
6165,-1,"bahnverkehr, stadtgemeinde, hochwasser, sammywilktour, ripnaina",1,2017-09-01 16:32:39.428571392+00:00
6166,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-09-01 16:32:39.428571392+00:00
6167,5,"unwetterwarnung, regenwand, warnungen, kalten, britische",1,2017-09-01 16:32:39.428571392+00:00
6168,76,"bergen, straßen, ortufern, schneeschmelze, gefrorener",1,2017-09-01 16:32:39.428571392+00:00
6169,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-09-02 13:19:18.171428608+00:00
6170,-1,"bundesland, hochwasser, einsatzbericht, sammywilktour, doepfner",1,2017-09-03 10:05:56.914285824+00:00
6171,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-09-03 10:05:56.914285824+00:00
6172,4,"neue, leegebruch, starkniederschlaege, kanalsiebe, bohrarbeiten",2,2017-09-03 10:05:56.914285824+00:00
6173,24,"diskussion, ard, bundeskanzlerin, angela, unbuerokratische",1,2017-09-03 10:05:56.914285824+00:00
6174,37,"diskussionrunde, wellenbad, fessenheim, zwickmuehle, fuerstbisch",1,2017-09-03 10:05:56.914285824+00:00
6175,52,"merkel, bergwerke, streit, millionenschaeden, randersacker",1,2017-09-03 10:05:56.914285824+00:00
6176,117,"schadenssumme, waechst, suedliches, rio, herzinfarkt",1,2017-09-03 10:05:56.914285824+00:00
6177,262,"gafft, linksgruenrotverschwulte, erdmittelpunkt, sendungsbewusstsein, geschmolzene",1,2017-09-03 10:05:56.914285824+00:00
6178,265,"schaeden, immer, bundesland, eingeborenen, jesusfueranfaenger",1,2017-09-03 10:05:56.914285824+00:00
6179,380,"ffn, politiker, parteipolitisch, mafi, egoistischen",1,2017-09-03 10:05:56.914285824+00:00
6180,464,"buerokratischer, bestattungen, luftaufaufnahmen, behoerdenmitarbeiter, zementwerk",1,2017-09-03 10:05:56.914285824+00:00
6181,-1,"geschuetzt, stadtgemeinde, hochwasser, sammywilktour, taxi",2,2017-09-04 06:52:35.657142784+00:00
6182,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",2,2017-09-04 06:52:35.657142784+00:00
6183,-1,"infrastruktur, schaden, euro, stadtgemeinde, hochwasser",4,2017-09-05 03:39:14.400000+00:00
6184,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-09-05 03:39:14.400000+00:00
6185,40,"hoheluft, wasserspaß, risikogebiet, schlaf, parkhaus",1,2017-09-05 03:39:14.400000+00:00
6186,79,"baerbock, reutern, glaeserzell, pfuetze, spotter",1,2017-09-05 03:39:14.400000+00:00
6187,89,"juli, ausuferung, verschwindet, bundesland, startschuss",1,2017-09-05 03:39:14.400000+00:00
6188,116,"verursacht, kreiszeitung, mindestens, euro, milliarde",2,2017-09-05 03:39:14.400000+00:00
6189,153,"infrastruktur, schaden, euro, millionen, landesregierung",1,2017-09-05 03:39:14.400000+00:00
6190,254,"infrastruktur, verursacht, schaden, millionen, euro",2,2017-09-05 03:39:14.400000+00:00
6191,318,"freilichtbuehne, unfallhilfe, unterwassermargeriten, veedelsgeschichte, vulkanausbruch",1,2017-09-05 03:39:14.400000+00:00
6192,414,"glueck, begrenztes, zerowaste, msczoe, konsumschrott",1,2017-09-05 03:39:14.400000+00:00
6193,72,"goodbye, didi, belastungsgrenzen, unordentlichen, puma",1,2017-09-07 17:59:10.628571392+00:00
6194,153,"millionen, schaden, euro, betrogen, landesregierung",1,2017-09-07 17:59:10.628571392+00:00
6195,401,"autorin, biblischen, bibel, pest, happtadavon",1,2017-09-07 17:59:10.628571392+00:00
6196,103,"teamafd, camper, mill, marschner, wissenschaftler",1,2017-09-08 14:45:49.371428608+00:00
6197,405,"haha, ueberschwemmt, unwetterlage, bombenexplosion, muecken",1,2017-09-08 14:45:49.371428608+00:00
6198,120,"hurrikan, schutz, regen, umweltbundesamt, wahlkreis",1,2017-09-09 11:32:28.114285824+00:00
6199,-1,"diskutieren, stadt, hochwasser, einsatzbericht, sammywilktour",1,2017-09-10 08:19:06.857142784+00:00
6200,53,"std, stadtgemeinde, touristen, biomuell, coronavirus",1,2017-09-10 08:19:06.857142784+00:00
6201,87,"weiterhin, hilfeprogramme, volkshilfe, unbuerokratische, bundesregierung",2,2017-09-10 08:19:06.857142784+00:00
6202,100,"eurobaustoff, ratgeber, versteigerung, spendengelder, klinikum",1,2017-09-10 08:19:06.857142784+00:00
6203,-1,"bankrott, kapitalismus, osterdeich, wind, touristen",10,2017-09-12 01:52:24.342857216+00:00
6204,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",2,2017-09-12 01:52:24.342857216+00:00
6205,172,"schlimmste, ermittlungsverfahren, hotelzurpostaltenahr, matthiasberger, virus",1,2017-09-12 01:52:24.342857216+00:00
6206,192,"community, sturmschaeden, aufnahmen, fußballer, office",2,2017-09-12 01:52:24.342857216+00:00
6207,228,"stadtplaner, drittmittelprojekten, feilt, innovationsfoerderung, sirenenwarnung",1,2017-09-12 01:52:24.342857216+00:00
6208,257,"altstadt, prognosen, waddencleanup, containerinhalt, wasserspielplaetze",1,2017-09-12 01:52:24.342857216+00:00
6209,259,"krankmeldungen, bedrohliche, luftaufnahmen, skeptiker, polittouristen",1,2017-09-12 01:52:24.342857216+00:00
6210,340,"mutig, fischmarkt, orkanfelix, geburtenrekord, marktschreier",1,2017-09-12 01:52:24.342857216+00:00
6211,-1,"wurttemberg, kleineren, meteorologen, flooding, hochwasser",3,2017-09-13 19:25:41.828571392+00:00
6212,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",2,2017-09-13 19:25:41.828571392+00:00
6213,4,"wetterdienst, leegebruch, starkniederschlaege, kanalsiebe, sturmboeen",1,2017-09-13 19:25:41.828571392+00:00
6214,8,"warnt, berliner, bayerischer, deutschlands, frankfurter",1,2017-09-13 19:25:41.828571392+00:00
6215,11,"test, hafencity, sirenenalarm, probealarm, alarmsystem",1,2017-09-13 19:25:41.828571392+00:00
6216,58,"schutzmaßnahmen, netzinfrastruktur, vorlaufzeiten, initiativen, sicherheit",1,2017-09-13 19:25:41.828571392+00:00
6217,86,"regen, stadt, hochwasser, blossen, saisonvorbereitung",1,2017-09-13 19:25:41.828571392+00:00
6218,173,"obikes, veroeffentlichte, unsaeglich, randnotiz, bachlangen",5,2017-09-13 19:25:41.828571392+00:00
6219,174,"hamburg, ortsspitze, foehr, deck, stellv",1,2017-09-13 19:25:41.828571392+00:00
6220,193,"floods, stadtgemeinde, parkhaus, faehrstelle, statusmeldung",1,2017-09-13 19:25:41.828571392+00:00
6221,220,"brandcorps, feuerwerkt, sonde, unbuerokrat, datacom",1,2017-09-13 19:25:41.828571392+00:00
6222,316,"searches, reinhardtsdorf, sonntagsblatt, stigma, watch",1,2017-09-13 19:25:41.828571392+00:00
6223,340,"objektivitaet, fischmarkt, faengen, marktschreier, geburtenrekord",1,2017-09-13 19:25:41.828571392+00:00
6224,-1,"reaktivierung, politikblog, bremst, bahnstrecke, stadion",2,2017-09-14 16:12:20.571428608+00:00
6225,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",1,2017-09-14 16:12:20.571428608+00:00
6226,14,"mobilitaet, wirtschaft, unwetters, davongekommen, waschen",1,2017-09-14 16:12:20.571428608+00:00
6227,42,"hegering, landesprogramm, stadt, eglv, landwirtschaftsmarkt",2,2017-09-14 16:12:20.571428608+00:00
6228,57,"mobilitaet, gebag, klagen, schutzkleidung, trinkwasservorraete",1,2017-09-14 16:12:20.571428608+00:00
6229,87,"hilfeprogramme, volkshilfe, unbuerokratische, beginn, soforthilfen",1,2017-09-14 16:12:20.571428608+00:00
6230,109,"erste, sturm, wetter, stochern, keinraumfuerquerdenken",1,2017-09-14 16:12:20.571428608+00:00
6231,122,"ausgezahlt, umweltminister, euro, finanzminister, direkthilfe",1,2017-09-14 16:12:20.571428608+00:00
6232,127,"radar, rollstuhl, warnschuss, pc, tisch",1,2017-09-14 16:12:20.571428608+00:00
6233,202,"pulsfestival, spannend, landwirtschaft, strategiebericht, imagevideo",1,2017-09-14 16:12:20.571428608+00:00
6234,249,"ortfaehre, wegschwemmen, alltagssituationen, wittke, ungerne",1,2017-09-14 16:12:20.571428608+00:00
6235,126,"hounds, gerettet, kaninchen, tierschutzverein, kitten",1,2017-09-15 12:58:59.314285824+00:00
6236,-1,"waspo, steigendes, fans, stadt, hochwasser",1,2017-09-16 09:45:38.057142784+00:00
6237,81,"klimananlagen, rekord, abend, amp, gestiegen",1,2017-09-16 09:45:38.057142784+00:00
6238,277,"haeufiger, klimakrise, tierproduktekonsum, mythos, yes",1,2017-09-16 09:45:38.057142784+00:00
6239,-1,"heldenblut, landrat, stadt, hochwasser, einsatzbericht",3,2017-09-17 06:32:16.800000+00:00
6240,32,"letzte, merkel, landkreis, patent, wasserburg",1,2017-09-17 06:32:16.800000+00:00
6241,87,"hilfeprogramme, euwidwasser, volkshilfe, unbuerokratische, ausgeweitet",2,2017-09-17 06:32:16.800000+00:00
6242,100,"eurobaustoff, versteigerung, oetker, spendengelder, klinikum",1,2017-09-17 06:32:16.800000+00:00
6243,43,"dasperfektedinner, kuenstlich, militaerische, wupp, unsterblich",1,2017-09-18 03:18:55.542857216+00:00
6244,138,"wirbelsturm, hurricane, waldbrand, geh, tornados",1,2017-09-18 03:18:55.542857216+00:00
6245,404,"schlachte, schoen, besonders, abertausende, bezahlung",1,2017-09-18 03:18:55.542857216+00:00
6246,-1,"verursac, horizons, oekonomie, stadt, hochwasser",2,2017-09-19 20:52:13.028571392+00:00
6247,207,"oekonomie, water, rettungsaktionen, hitdorfer, containerriesen",1,2017-09-19 20:52:13.028571392+00:00
6248,-1,"bildband, stimmt, stadt, hochwasser, einsatzbericht",2,2017-09-20 17:38:51.771428608+00:00
6249,82,"cranz, verletzt, kajak, schiffsansammlung, schlauchboot",1,2017-09-20 17:38:51.771428608+00:00
6250,-1,"heimgesucht, braunen, hochwasser, sammywilktour, doepfner",1,2017-09-23 07:58:48+00:00
6251,293,"hochwasser, tabellenspitze, stadtbekannte, frieden, sehmann",1,2017-09-23 07:58:48+00:00
6252,293,"hochwasser, tabellenspitze, stadtbekannte, frieden, sehmann",1,2017-09-24 04:45:26.742857216+00:00
6253,-1,"stadt, hochwasser, einsatzbericht, sammywilktour, doepfner",1,2017-09-25 01:32:05.485714176+00:00
6254,87,"ruecklagen, finanzen, hilfeprogramme, volkshilfe, unbuerokratische",1,2017-09-25 01:32:05.485714176+00:00
6255,88,"nettoneuverschuldung, finanzen, steuerliche, ermoeglicht, steuern",1,2017-09-25 01:32:05.485714176+00:00
6256,148,"terroranschlaege, seehofer, csu, hoffnung, staatsanwaltschaft",1,2017-09-25 01:32:05.485714176+00:00
6257,293,"hochwasser, tabellenspitze, stadtbekannte, frieden, sehmann",1,2017-09-25 01:32:05.485714176+00:00
6258,-1,"klaerwerk, stadt, hochwasser, sammywilktour, taxi",1,2017-09-26 19:05:22.971428608+00:00
6259,293,"hochwasser, tabellenspitze, stadtbekannte, frieden, sehmann",1,2017-09-26 19:05:22.971428608+00:00
6260,62,"wasserhaushalt, regulieren, sorrytosay, daxerau, naherhohlingstouridoerfler",1,2017-09-27 15:52:01.714285824+00:00
6261,193,"parkhaus, oktober, faehrstelle, vorabinfo, haaresbreite",1,2017-09-27 15:52:01.714285824+00:00
6262,264,"droppendes, hype, album, selfie, fotografie",1,2017-09-27 15:52:01.714285824+00:00
6263,267,"allianz, rentner, portokasse, soforthilfekonto, landgebiet",2,2017-09-27 15:52:01.714285824+00:00
6264,-1,"klimawandel, hochwasser, einsatzbericht, sammywilktour, ursula",1,2017-09-28 12:38:40.457142784+00:00
6265,-1,"elb, hochwasser, einsatzbericht, sammywilktour, doepfner",1,2017-09-29 09:25:19.200000+00:00
6266,-1,"spend, ehrenamtlichen, stadt, hochwasser, einsatzbericht",1,2017-09-30 06:11:57.942857216+00:00
6267,223,"zuverkaufen, stadtgemeinde, wuelfte, longexposure, fotomotiv",1,2017-09-30 06:11:57.942857216+00:00
6268,50,"stadt, hochwasser, nk, januar, fischauktionshalle",1,2017-10-01 02:58:36.685714176+00:00
6269,87,"betroffene, hilfeprogramme, volkshilfe, unbuerokratische, beginn",1,2017-10-01 02:58:36.685714176+00:00
6270,-1,"ideen, bessere, stadt, hochwasser, sammywilktour",1,2017-10-02 20:31:54.171428608+00:00
6271,9,"stadt, seelenbuch, hilfeleistung, pizzakarton, obdachlosen",1,2017-10-02 20:31:54.171428608+00:00
6272,293,"hochwasser, tabellenspitze, stadtbekannte, frieden, sehmann",1,2017-10-02 20:31:54.171428608+00:00
6273,437,"room, living, monumentales, travelphotography, dokumentieren",1,2017-10-02 20:31:54.171428608+00:00
6274,2,"nina, app, unwetter, krankheitserregern, stadt",1,2017-10-03 17:18:32.914285824+00:00
6275,293,"hochwasser, tabellenspitze, stadtbekannte, frieden, sehmann",1,2017-10-03 17:18:32.914285824+00:00
6276,-1,"testet, liga, stadtgemeinde, bundesland, hochwasser",6,2017-10-05 10:51:50.400000+00:00
6277,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",6,2017-10-05 10:51:50.400000+00:00
6278,26,"aktuelle, info, liegt, mehr, pegel",1,2017-10-05 10:51:50.400000+00:00
6279,38,"parkplaetze, fischmarkt, amp, fahrzeuge, fahrer",1,2017-10-05 10:51:50.400000+00:00
6280,179,"unwetter, reinigen, unfreiwilligen, schichtwassers, wickede",1,2017-10-05 10:51:50.400000+00:00
6281,-1,"wired, billig, sauftouristen, amsterdam, stadtplaner",2,2017-10-06 07:38:29.142857216+00:00
6282,1,"bundesland, wetterextremen, niedrigwasser, besser, betroffen",3,2017-10-06 07:38:29.142857216+00:00
6283,-1,"bundesland, hochwasser, einsatzbericht, sammywilktour, doepfner",1,2017-10-07 04:25:07.885714176+00:00
6284,0,"bundesland, wasserwirtschaftsaemter, genauere, unteren, hochwasser",1,2017-10-07 04:25:07.885714176+00:00
